season,alpha_percent_method,elimination_difference_rate,champion_changed,rank_spearman,percent_spearman,rank_p_value,percent_p_value,rank_n,percent_n,more_fan_friendly,rank_champion,percent_champion
1,0.5,0.3333333333333333,True,0.8857142857142858,0.8857142857142858,0.01884548104956266,0.01884548104956266,6,6,Equal,John O'Hurley,Kelly Monaco
2,0.5,0.5,False,0.9300954818304988,0.9787279253249042,9.596084056886828e-05,8.73148286763855e-07,10,10,Percent Combination,Drew Lachey,Drew Lachey
3,0.5,0.5,False,0.9181818181818183,0.9181818181818183,6.661451941355569e-05,6.661451941355569e-05,11,11,Equal,Mario Lopez,Mario Lopez
4,0.5,0.8,True,0.8363636363636365,0.9727272727272729,0.0013331850799508567,5.142177049049177e-07,11,11,Percent Combination,Joey Fatone,Apolo Anton Ohno
5,0.5,0.8,False,0.9440559440559443,0.8741258741258742,3.927261080965946e-06,0.00020071307332423185,12,12,Rank Combination,Mel B,Mel B
6,0.5,0.6,False,0.9300699300699302,0.9860139860139862,1.1702227928659683e-05,4.1168959116543235e-09,12,12,Percent Combination,Kristi Yamaguchi,Kristi Yamaguchi
7,0.5,0.8,False,0.9340659340659341,0.9780219780219779,2.9987037500995785e-06,7.757814031393603e-09,13,13,Percent Combination,Brooke Burke,Brooke Burke
8,0.5,0.8181818181818182,False,0.9463557783548546,0.9601109495518729,9.876594016533825e-07,1.9884228147599407e-07,13,13,Percent Combination,Shawn Johnson,Shawn Johnson
9,0.5,0.4,True,0.9514001481437269,0.946981881201883,1.5094839978201987e-08,2.742914273723013e-08,16,16,Rank Combination,Donny Osmond,Mya
10,0.5,0.2,False,0.9818181818181818,0.990909090909091,8.403066433955254e-08,3.7625718070854e-09,11,11,Percent Combination,Nicole Scherzinger,Nicole Scherzinger
11,0.5,0.5,False,0.9300699300699302,0.8531468531468532,1.1702227928659683e-05,0.0004181179404149967,12,12,Rank Combination,Jennifer Grey,Jennifer Grey
12,0.5,0.2,False,0.961278120390013,0.9339431975353206,2.4488608545989227e-06,2.602869362141777e-05,11,11,Rank Combination,Chelsea Kane,Chelsea Kane
13,0.5,0.7,False,0.9211923058649254,0.8651501883978578,2.0949776212051888e-05,0.0002788118440839217,12,12,Rank Combination,Rob Kardashian,Rob Kardashian
14,0.5,0.4,False,0.9352028352316922,0.9772344233319931,8.063834068683784e-06,4.6354697626853945e-08,12,12,Percent Combination,Katherine Jenkins,Katherine Jenkins
15,0.5,0.7,False,0.9340659340659341,0.9230769230769231,2.9987037500995785e-06,6.851685949643352e-06,13,13,Rank Combination,Melissa Rycroft,Melissa Rycroft
16,0.5,0.1,False,0.9492133645984593,0.9772344233319931,2.442741727640215e-06,4.6354697626853945e-08,12,12,Percent Combination,Kellie Pickler,Kellie Pickler
17,0.5,0.36363636363636365,False,0.965034965034965,0.965034965034965,3.8809852996274643e-07,3.8809852996274643e-07,12,12,Equal,Amber Riley,Amber Riley
18,0.5,0.0,True,0.9632238939652261,0.9562186292818428,4.980487485963565e-07,1.1769024781866463e-06,12,12,Rank Combination,Meryl Davis,Amy Purdy
19,0.5,0.7272727272727273,False,0.9326006071578365,0.9601109495518729,3.3743777396187987e-06,1.9884228147599407e-07,13,13,Percent Combination,Alfonso Ribeiro,Alfonso Ribeiro
20,0.5,0.7,False,0.9020979020979022,0.9370629370629372,5.9978574465376914e-05,6.993164953210543e-06,12,12,Percent Combination,Riker Lynch,Riker Lynch
21,0.5,0.36363636363636365,False,0.9725274725274725,0.989010989010989,2.6191330438273973e-08,1.7507283021964818e-10,13,13,Percent Combination,Bindi Irwin,Bindi Irwin
22,0.5,0.3,False,0.9772344233319931,0.9632238939652261,4.6354697626853945e-08,4.980487485963565e-07,12,12,Rank Combination,Paige VanZant,Paige VanZant
23,0.5,0.0,False,0.945054945054945,0.945054945054945,1.1239312789557563e-06,1.1239312789557563e-06,13,13,Equal,Laurie Hernandez,Laurie Hernandez
24,0.5,0.6,False,0.8461538461538463,0.9510489510489512,0.0005211337004810046,2.0384246324655774e-06,12,12,Percent Combination,Rashad Jennings,Rashad Jennings
25,0.5,0.3,False,0.9615384615384615,0.9505494505494506,1.6317680810700008e-07,6.363704773478599e-07,13,13,Rank Combination,Jordan Fisher,Jordan Fisher
26,0.5,0.75,False,0.9361745372672995,0.9726488698881034,6.718873258402912e-05,2.368934900638472e-06,10,10,Percent Combination,Adam Rippon,Adam Rippon
27,0.5,0.3333333333333333,False,0.8528206142151307,0.8198082033422869,0.00021131655528979848,0.0006014410982505883,13,13,Rank Combination,Evanna Lynch,Evanna Lynch
28,0.5,0.36363636363636365,False,0.8391608391608393,0.965034965034965,0.0006428259886278203,3.8809852996274643e-07,12,12,Percent Combination,Ally Brooke,Ally Brooke
29,0.5,0.0,False,0.9714285714285713,0.9714285714285713,1.6870764886091308e-09,1.6870764886091308e-09,15,15,Equal,Nev Schulman,Nev Schulman
30,0.5,0.8,False,0.8990173384323252,0.9401254871081572,5.179045483439197e-06,1.9172100040988155e-07,15,15,Percent Combination,JoJo Siwa,JoJo Siwa
31,0.5,0.2,False,0.9558823529411766,0.9529411764705882,7.760274461610304e-09,1.2096579348828988e-08,16,16,Rank Combination,Charli D'Amelio,Charli D'Amelio
32,0.5,0.0,False,0.906491197601949,0.9284934111359767,7.869586676439156e-06,1.6522359481996819e-06,14,14,Percent Combination,Xochitl Gomez,Xochitl Gomez
33,0.5,0.1111111111111111,False,0.9105923332426072,0.9215964702002218,1.528912324371961e-05,7.58699686475234e-06,13,13,Percent Combination,Chandler Kinney,Chandler Kinney
34,0.5,0.45454545454545453,False,0.9384615384615385,0.9252747252747253,6.861201481766676e-07,2.136570349610813e-06,14,14,Rank Combination,Alix Earle,Alix Earle
