season,week,k_eliminations_official,is_final_week,rank_eliminated,percent_eliminated,rank_bottom_two,percent_bottom_two,rank_judges_save_eliminated,percent_judges_save_eliminated,rank_js_bottom_two,percent_js_bottom_two,rank_vs_percent_diff,rank_js_changes,percent_js_changes
1,1,1,False,Evander Holyfield,Evander Holyfield,Evander Holyfield;Kelly Monaco,Evander Holyfield;Trista Sutter,Kelly Monaco,Evander Holyfield,Evander Holyfield;Kelly Monaco,Evander Holyfield;Trista Sutter,False,True,False
1,2,1,False,Trista Sutter,Trista Sutter,Trista Sutter;Joey McIntyre,Trista Sutter;Joey McIntyre,Evander Holyfield,Trista Sutter,Trista Sutter;Evander Holyfield,Trista Sutter;Joey McIntyre,False,True,False
1,3,1,False,Joey McIntyre,Joey McIntyre,Joey McIntyre;Kelly Monaco,Joey McIntyre;John O'Hurley,Trista Sutter,Joey McIntyre,Trista Sutter;Joey McIntyre,Joey McIntyre;John O'Hurley,False,True,False
1,4,1,False,Rachel Hunter,John O'Hurley,Rachel Hunter;John O'Hurley,John O'Hurley;Rachel Hunter,Joey McIntyre,John O'Hurley,Joey McIntyre;John O'Hurley,John O'Hurley;Rachel Hunter,True,True,False
1,5,1,False,Kelly Monaco,Rachel Hunter,Kelly Monaco;John O'Hurley,Rachel Hunter;Kelly Monaco,Rachel Hunter,Rachel Hunter,Rachel Hunter;John O'Hurley,Rachel Hunter;Kelly Monaco,True,True,False
1,6,0,True,,,John O'Hurley,Kelly Monaco,,,John O'Hurley,Kelly Monaco,False,False,False
2,1,1,False,Master P,Kenny Mayne,Master P;Kenny Mayne,Kenny Mayne;Master P,Master P,Master P,Master P;Kenny Mayne,Kenny Mayne;Master P,True,False,True
2,2,1,False,Kenny Mayne,Tatum O'Neal,Kenny Mayne;Tatum O'Neal,Tatum O'Neal;Master P,Kenny Mayne,Kenny Mayne,Kenny Mayne;Tatum O'Neal,Kenny Mayne;Tatum O'Neal,True,False,True
2,3,1,False,Tatum O'Neal,Master P,Tatum O'Neal;Giselle Fernandez,Master P;Giselle Fernandez,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal;Giselle Fernandez,Tatum O'Neal;Giselle Fernandez,True,False,True
2,4,1,False,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez;George Hamilton,Giselle Fernandez;George Hamilton,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez;George Hamilton,Giselle Fernandez;George Hamilton,False,False,False
2,5,1,False,Tia Carrere,Tia Carrere,Tia Carrere;George Hamilton,Tia Carrere;Jerry Rice,Tia Carrere,Tia Carrere,Tia Carrere;George Hamilton,Tia Carrere;Jerry Rice,False,False,False
2,6,1,False,George Hamilton,George Hamilton,George Hamilton;Jerry Rice,George Hamilton;Jerry Rice,George Hamilton,George Hamilton,George Hamilton;Jerry Rice,George Hamilton;Jerry Rice,False,False,False
2,7,1,False,Lisa Rinna,Jerry Rice,Lisa Rinna;Jerry Rice,Jerry Rice;Lisa Rinna,Jerry Rice,Jerry Rice,Lisa Rinna;Jerry Rice,Jerry Rice;Lisa Rinna,True,True,False
2,8,0,True,,,Jerry Rice;Stacy Keibler,Lisa Rinna;Stacy Keibler,,,Lisa Rinna;Stacy Keibler,Lisa Rinna;Stacy Keibler,False,False,False
3,1,1,False,Tucker Carlson,Tucker Carlson,Tucker Carlson;Sara Evans,Tucker Carlson;Jerry Springer,Tucker Carlson,Tucker Carlson,Tucker Carlson;Sara Evans,Tucker Carlson;Jerry Springer,False,False,False
3,2,1,False,Jerry Springer,Shanna Moakler,Jerry Springer;Shanna Moakler,Shanna Moakler;Jerry Springer,Jerry Springer,Jerry Springer,Jerry Springer;Shanna Moakler,Shanna Moakler;Jerry Springer,True,False,True
3,3,1,False,Shanna Moakler,Harry Hamlin,Shanna Moakler;Emmitt Smith,Harry Hamlin;Jerry Springer,Shanna Moakler,Shanna Moakler,Shanna Moakler;Emmitt Smith,Shanna Moakler;Harry Hamlin,True,False,True
3,4,1,False,Harry Hamlin,Vivica A. Fox,Harry Hamlin;Sara Evans,Vivica A. Fox;Sara Evans,Harry Hamlin,Harry Hamlin,Harry Hamlin;Sara Evans,Harry Hamlin;Vivica A. Fox,True,False,True
3,5,1,False,Vivica A. Fox,Willa Ford,Vivica A. Fox;Sara Evans,Willa Ford;Sara Evans,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox;Sara Evans,Vivica A. Fox;Willa Ford,True,False,True
3,6,1,False,Sara Evans,Sara Evans,Sara Evans;Willa Ford,Sara Evans;Jerry Springer,Sara Evans,Sara Evans,Sara Evans;Willa Ford,Sara Evans;Willa Ford,False,False,False
3,7,1,False,Willa Ford,Jerry Springer,Willa Ford;Monique Coleman,Jerry Springer;Monique Coleman,Willa Ford,Willa Ford,Willa Ford;Monique Coleman,Willa Ford;Monique Coleman,True,False,True
3,8,1,False,Monique Coleman,Monique Coleman,Monique Coleman;Joey Lawrence,Monique Coleman;Joey Lawrence,Monique Coleman,Monique Coleman,Monique Coleman;Joey Lawrence,Monique Coleman;Joey Lawrence,False,False,False
3,9,1,False,Joey Lawrence,Joey Lawrence,Joey Lawrence;Emmitt Smith,Joey Lawrence;Emmitt Smith,Joey Lawrence,Joey Lawrence,Joey Lawrence;Emmitt Smith,Joey Lawrence;Emmitt Smith,False,False,False
3,10,0,True,,,Emmitt Smith;Mario Lopez,Emmitt Smith;Mario Lopez,,,Emmitt Smith;Mario Lopez,Emmitt Smith;Mario Lopez,False,False,False
4,1,1,False,Billy Ray Cyrus,Clyde Drexler,Billy Ray Cyrus;Clyde Drexler,Clyde Drexler;Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus;Clyde Drexler,Clyde Drexler;Billy Ray Cyrus,True,False,True
4,2,1,False,Clyde Drexler,Paulina Porizkova,Clyde Drexler;Paulina Porizkova,Paulina Porizkova;John Ratzenberger,Clyde Drexler,Clyde Drexler,Clyde Drexler;Paulina Porizkova,Paulina Porizkova;Clyde Drexler,True,False,True
4,3,1,False,Paulina Porizkova,Shandi Finnessey,Paulina Porizkova;John Ratzenberger,Shandi Finnessey;John Ratzenberger,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova;John Ratzenberger,Paulina Porizkova;Shandi Finnessey,True,False,True
4,4,1,False,Shandi Finnessey,Leeza Gibbons,Shandi Finnessey;Leeza Gibbons,Leeza Gibbons;John Ratzenberger,Shandi Finnessey,Shandi Finnessey,Shandi Finnessey;Leeza Gibbons,Shandi Finnessey;Leeza Gibbons,True,False,True
4,5,1,False,Leeza Gibbons,Billy Ray Cyrus,Leeza Gibbons;John Ratzenberger,Billy Ray Cyrus;John Ratzenberger,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons;John Ratzenberger,Leeza Gibbons;John Ratzenberger,True,False,True
4,6,1,False,John Ratzenberger,Heather Mills,John Ratzenberger;Heather Mills,Heather Mills;John Ratzenberger,John Ratzenberger,John Ratzenberger,John Ratzenberger;Heather Mills,Heather Mills;John Ratzenberger,True,False,True
4,7,1,False,Heather Mills,John Ratzenberger,Heather Mills;Ian Ziering,John Ratzenberger;Ian Ziering,Heather Mills,Heather Mills,Heather Mills;Ian Ziering,Heather Mills;Ian Ziering,True,False,True
4,8,1,False,Ian Ziering,Ian Ziering,Ian Ziering;Laila Ali,Ian Ziering;Laila Ali,Ian Ziering,Ian Ziering,Ian Ziering;Laila Ali,Ian Ziering;Laila Ali,False,False,False
4,9,1,False,Apolo Anton Ohno,Laila Ali,Apolo Anton Ohno;Laila Ali,Laila Ali;Joey Fatone,Apolo Anton Ohno,Laila Ali,Apolo Anton Ohno;Laila Ali,Laila Ali;Joey Fatone,True,False,False
4,10,0,True,,,Laila Ali;Joey Fatone,Joey Fatone;Apolo Anton Ohno,,,Laila Ali;Joey Fatone,Joey Fatone;Apolo Anton Ohno,False,False,False
5,1,1,False,Josie Maran,Josie Maran,Josie Maran;Wayne Newton,Josie Maran;Wayne Newton,Josie Maran,Josie Maran,Josie Maran;Wayne Newton,Josie Maran;Wayne Newton,False,False,False
5,2,1,False,Wayne Newton,Albert Reed,Wayne Newton;Mark Cuban,Albert Reed;Wayne Newton,Wayne Newton,Wayne Newton,Wayne Newton;Mark Cuban,Albert Reed;Wayne Newton,True,False,True
5,3,1,False,Albert Reed,Wayne Newton,Albert Reed;Mark Cuban,Wayne Newton;Mark Cuban,Albert Reed,Albert Reed,Albert Reed;Mark Cuban,Albert Reed;Mark Cuban,True,False,True
5,4,1,False,Mark Cuban,Floyd Mayweather Jr.,Mark Cuban;Floyd Mayweather Jr.,Floyd Mayweather Jr.;Mark Cuban,Mark Cuban,Mark Cuban,Mark Cuban;Floyd Mayweather Jr.,Floyd Mayweather Jr.;Mark Cuban,True,False,True
5,5,1,False,Floyd Mayweather Jr.,Mark Cuban,Floyd Mayweather Jr.;Marie Osmond,Mark Cuban;Marie Osmond,Floyd Mayweather Jr.,Floyd Mayweather Jr.,Floyd Mayweather Jr.;Marie Osmond,Floyd Mayweather Jr.;Marie Osmond,True,False,True
5,6,1,False,Jane Seymour,Sabrina Bryan,Jane Seymour;Marie Osmond,Sabrina Bryan;Jane Seymour,Jane Seymour,Jane Seymour,Jane Seymour;Marie Osmond,Sabrina Bryan;Jane Seymour,True,False,True
5,7,1,False,Sabrina Bryan,Jane Seymour,Sabrina Bryan;Cameron Mathison,Jane Seymour;Marie Osmond,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan;Cameron Mathison,Sabrina Bryan;Marie Osmond,True,False,True
5,8,1,False,Marie Osmond,Cameron Mathison,Marie Osmond;Cameron Mathison,Cameron Mathison;Marie Osmond,Marie Osmond,Marie Osmond,Marie Osmond;Cameron Mathison,Cameron Mathison;Marie Osmond,True,False,True
5,9,1,False,Cameron Mathison,Jennie Garth,Cameron Mathison;Jennie Garth,Jennie Garth;Marie Osmond,Cameron Mathison,Cameron Mathison,Cameron Mathison;Jennie Garth,Cameron Mathison;Jennie Garth,True,False,True
5,10,0,True,,,Jennie Garth;Helio Castroneves,Marie Osmond;Helio Castroneves,,,Jennie Garth;Helio Castroneves,Jennie Garth;Helio Castroneves,False,False,False
6,1,1,False,Monica Seles,Monica Seles,Monica Seles;Adam Carolla,Monica Seles;Penn Jillette,Monica Seles,Monica Seles,Monica Seles;Adam Carolla,Monica Seles;Penn Jillette,False,False,False
6,2,2,False,Penn Jillette;Steve Guttenberg,Penn Jillette;Steve Guttenberg,Penn Jillette;Steve Guttenberg,Penn Jillette;Steve Guttenberg,Steve Guttenberg;Penn Jillette,Steve Guttenberg;Penn Jillette,Penn Jillette;Steve Guttenberg,Penn Jillette;Steve Guttenberg,False,False,False
6,3,1,False,Marissa Jaret Winokur,Adam Carolla,Marissa Jaret Winokur;Adam Carolla,Adam Carolla;Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur;Adam Carolla,Adam Carolla;Marissa Jaret Winokur,True,False,True
6,4,1,False,Adam Carolla,Marlee Matlin,Adam Carolla;Priscilla Presley,Marlee Matlin;Priscilla Presley,Adam Carolla,Adam Carolla,Adam Carolla;Priscilla Presley,Adam Carolla;Marlee Matlin,True,False,True
6,5,1,False,Priscilla Presley,Priscilla Presley,Priscilla Presley;Marlee Matlin,Priscilla Presley;Marissa Jaret Winokur,Priscilla Presley,Priscilla Presley,Priscilla Presley;Marlee Matlin,Priscilla Presley;Marlee Matlin,False,False,False
6,6,1,False,Marlee Matlin,Marissa Jaret Winokur,Marlee Matlin;Shannon Elizabeth,Marissa Jaret Winokur;Shannon Elizabeth,Marlee Matlin,Marlee Matlin,Marlee Matlin;Shannon Elizabeth,Marlee Matlin;Shannon Elizabeth,True,False,True
6,7,1,False,Cristian de la Fuente,Shannon Elizabeth,Cristian de la Fuente;Shannon Elizabeth,Shannon Elizabeth;Mario,Cristian de la Fuente,Shannon Elizabeth,Cristian de la Fuente;Shannon Elizabeth,Shannon Elizabeth;Mario,True,False,False
6,8,1,False,Shannon Elizabeth,Mario,Shannon Elizabeth;Jason Taylor,Mario;Cristian de la Fuente,Shannon Elizabeth,Mario,Shannon Elizabeth;Jason Taylor,Mario;Cristian de la Fuente,True,False,False
6,9,1,False,Mario,Cristian de la Fuente,Mario;Jason Taylor,Cristian de la Fuente;Jason Taylor,Mario,Jason Taylor,Mario;Jason Taylor,Cristian de la Fuente;Jason Taylor,True,False,True
6,10,0,True,,,Jason Taylor;Kristi Yamaguchi,Jason Taylor;Kristi Yamaguchi,,,Jason Taylor;Kristi Yamaguchi,Cristian de la Fuente;Kristi Yamaguchi,False,False,False
7,1,2,False,Jeffrey Ross;Cloris Leachman,Jeffrey Ross;Ted McGinley,Jeffrey Ross;Cloris Leachman,Jeffrey Ross;Ted McGinley,Jeffrey Ross;Cloris Leachman,Jeffrey Ross;Cloris Leachman,Jeffrey Ross;Cloris Leachman,Jeffrey Ross;Ted McGinley,True,False,True
7,2,1,False,Ted McGinley,Kim Kardashian,Ted McGinley;Rocco DiSpirito,Kim Kardashian;Misty May-Treanor,Ted McGinley,Ted McGinley,Ted McGinley;Rocco DiSpirito,Ted McGinley;Kim Kardashian,True,False,True
7,3,1,False,Kim Kardashian,Misty May-Treanor,Kim Kardashian;Misty May-Treanor,Misty May-Treanor;Cloris Leachman,Kim Kardashian,Kim Kardashian,Kim Kardashian;Misty May-Treanor,Kim Kardashian;Misty May-Treanor,True,False,True
7,4,1,False,Misty May-Treanor,Rocco DiSpirito,Misty May-Treanor;Rocco DiSpirito,Rocco DiSpirito;Cloris Leachman,Misty May-Treanor,Misty May-Treanor,Misty May-Treanor;Rocco DiSpirito,Misty May-Treanor;Rocco DiSpirito,True,False,True
7,5,1,False,Rocco DiSpirito,Toni Braxton,Rocco DiSpirito;Toni Braxton,Toni Braxton;Cloris Leachman,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito;Toni Braxton,Rocco DiSpirito;Toni Braxton,True,False,True
7,6,1,False,Toni Braxton,Cloris Leachman,Toni Braxton;Maurice Greene,Cloris Leachman;Cody Linley,Toni Braxton,Toni Braxton,Toni Braxton;Maurice Greene,Toni Braxton;Cody Linley,True,False,True
7,7,1,False,Cody Linley,Susan Lucci,Cody Linley;Susan Lucci,Susan Lucci;Cody Linley,Cody Linley,Cody Linley,Cody Linley;Susan Lucci,Susan Lucci;Cody Linley,True,False,True
7,8,1,False,Susan Lucci,Maurice Greene,Susan Lucci;Maurice Greene,Maurice Greene;Cody Linley,Susan Lucci,Susan Lucci,Susan Lucci;Maurice Greene,Susan Lucci;Maurice Greene,True,False,True
7,9,1,False,Maurice Greene,Cody Linley,Maurice Greene;Warren Sapp,Cody Linley;Warren Sapp,Maurice Greene,Maurice Greene,Maurice Greene;Warren Sapp,Maurice Greene;Warren Sapp,True,False,True
7,10,0,True,,,Warren Sapp;Lance Bass,Warren Sapp;Lance Bass,,,Warren Sapp;Lance Bass,Warren Sapp;Lance Bass,False,False,False
8,1,1,False,Steve Wozniak,Steve Wozniak,Steve Wozniak;Steve-O,Steve Wozniak;Steve-O,Steve Wozniak,Steve Wozniak,Steve Wozniak;Steve-O,Steve Wozniak;Steve-O,False,False,False
8,2,1,False,Steve-O,Belinda Carlisle,Steve-O;Belinda Carlisle,Belinda Carlisle;Steve-O,Steve-O,Steve-O,Steve-O;Belinda Carlisle,Belinda Carlisle;Steve-O,True,False,True
8,3,1,False,Belinda Carlisle,Denise Richards,Belinda Carlisle;Denise Richards,Denise Richards;Steve-O,Belinda Carlisle,Belinda Carlisle,Belinda Carlisle;Denise Richards,Belinda Carlisle;Denise Richards,True,False,True
8,4,2,False,Denise Richards;Holly Madison,Holly Madison;Steve-O,Denise Richards;Holly Madison,Holly Madison;Steve-O,Denise Richards;Holly Madison,Denise Richards;Holly Madison,Denise Richards;Holly Madison,Denise Richards;Holly Madison,True,False,True
8,5,1,False,Lawrence Taylor,David Alan Grier,Lawrence Taylor;David Alan Grier,David Alan Grier;Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor;David Alan Grier,David Alan Grier;Lawrence Taylor,True,False,True
8,6,1,False,David Alan Grier,Ty Murray,David Alan Grier;Ty Murray,Ty Murray;Lawrence Taylor,David Alan Grier,David Alan Grier,David Alan Grier;Ty Murray,David Alan Grier;Ty Murray,True,False,True
8,7,1,False,Ty Murray,Lawrence Taylor,Ty Murray;Lil' Kim,Lawrence Taylor;Chuck Wicks,Ty Murray,Ty Murray,Ty Murray;Lil' Kim,Ty Murray;Chuck Wicks,True,False,True
8,8,1,False,Melissa Rycroft,Chuck Wicks,Melissa Rycroft;Chuck Wicks,Chuck Wicks;Melissa Rycroft,Melissa Rycroft,Melissa Rycroft,Melissa Rycroft;Chuck Wicks,Chuck Wicks;Melissa Rycroft,True,False,True
8,9,1,False,Chuck Wicks,Lil' Kim,Chuck Wicks;Lil' Kim,Lil' Kim;Melissa Rycroft,Chuck Wicks,Chuck Wicks,Chuck Wicks;Lil' Kim,Chuck Wicks;Lil' Kim,True,False,True
8,10,1,False,Lil' Kim,Melissa Rycroft,Lil' Kim;Shawn Johnson,Melissa Rycroft;Gilles Marini,Lil' Kim,Lil' Kim,Lil' Kim;Shawn Johnson,Lil' Kim;Gilles Marini,True,False,True
8,11,0,True,,,Gilles Marini;Shawn Johnson,Gilles Marini;Shawn Johnson,,,Gilles Marini;Shawn Johnson,Gilles Marini;Shawn Johnson,False,False,False
9,1,2,False,Ashley Hamiliton;Macy Gray,Ashley Hamiliton;Macy Gray,Ashley Hamiliton;Macy Gray,Ashley Hamiliton;Macy Gray,Ashley Hamiliton;Macy Gray,Ashley Hamiliton;Macy Gray,Ashley Hamiliton;Macy Gray,Ashley Hamiliton;Macy Gray,False,False,False
9,2,1,False,Kathy Ireland,Kathy Ireland,Kathy Ireland;Tom DeLay,Kathy Ireland;Tom DeLay,Kathy Ireland,Kathy Ireland,Kathy Ireland;Tom DeLay,Kathy Ireland;Tom DeLay,False,False,False
9,3,1,False,Michael Irvin,Debi Mazar,Michael Irvin;Tom DeLay,Debi Mazar;Tom DeLay,Michael Irvin,Tom DeLay,Michael Irvin;Tom DeLay,Debi Mazar;Tom DeLay,True,False,True
9,4,1,False,Debi Mazar,Tom DeLay,Debi Mazar;Tom DeLay,Tom DeLay;Chuck Liddell,Debi Mazar,Debi Mazar,Debi Mazar;Tom DeLay,Debi Mazar;Chuck Liddell,True,False,True
9,5,1,False,Chuck Liddell,Chuck Liddell,Chuck Liddell;Tom DeLay,Chuck Liddell;Natalie Coughlin,Chuck Liddell,Chuck Liddell,Chuck Liddell;Tom DeLay,Chuck Liddell;Natalie Coughlin,False,False,False
9,6,2,False,Natalie Coughlin;Tom DeLay,Natalie Coughlin;Melissa Joan Hart,Natalie Coughlin;Tom DeLay,Natalie Coughlin;Melissa Joan Hart,Natalie Coughlin;Tom DeLay,Natalie Coughlin;Melissa Joan Hart,Natalie Coughlin;Tom DeLay,Natalie Coughlin;Melissa Joan Hart,True,False,False
9,7,2,False,Louie Vito;Melissa Joan Hart,Louie Vito;Michael Irvin,Louie Vito;Melissa Joan Hart,Louie Vito;Michael Irvin,Louie Vito;Melissa Joan Hart,Louie Vito;Mark Dacascos,Louie Vito;Melissa Joan Hart,Louie Vito;Michael Irvin,True,False,True
9,8,1,False,Mark Dacascos,Mark Dacascos,Mark Dacascos;Aaron Carter,Mark Dacascos;Aaron Carter,Mark Dacascos,Michael Irvin,Mark Dacascos;Aaron Carter,Michael Irvin;Aaron Carter,False,False,True
9,9,1,False,Aaron Carter,Aaron Carter,Aaron Carter;Donny Osmond,Aaron Carter;Joanna Krupa,Aaron Carter,Aaron Carter,Aaron Carter;Donny Osmond,Aaron Carter;Joanna Krupa,False,False,False
9,10,0,True,,,Joanna Krupa;Kelly Osbourne,Joanna Krupa;Kelly Osbourne,,,Joanna Krupa;Kelly Osbourne,Joanna Krupa;Kelly Osbourne,False,False,False
10,1,1,False,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin;Aiden Turner,Buzz Aldrin;Kate Gosselin,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin;Aiden Turner,Buzz Aldrin;Kate Gosselin,False,False,False
10,2,1,False,Kate Gosselin,Shannen Doherty,Kate Gosselin;Aiden Turner,Shannen Doherty;Kate Gosselin,Kate Gosselin,Kate Gosselin,Kate Gosselin;Aiden Turner,Shannen Doherty;Kate Gosselin,True,False,True
10,3,1,False,Shannen Doherty,Kate Gosselin,Shannen Doherty;Aiden Turner,Kate Gosselin;Aiden Turner,Shannen Doherty,Shannen Doherty,Shannen Doherty;Aiden Turner,Shannen Doherty;Aiden Turner,True,False,True
10,4,1,False,Aiden Turner,Aiden Turner,Aiden Turner;Niecy Nash,Aiden Turner;Niecy Nash,Aiden Turner,Aiden Turner,Aiden Turner;Niecy Nash,Aiden Turner;Niecy Nash,False,False,False
10,5,1,False,Niecy Nash,Niecy Nash,Niecy Nash;Chad Ochocinco,Niecy Nash;Chad Ochocinco,Niecy Nash,Niecy Nash,Niecy Nash;Chad Ochocinco,Niecy Nash;Chad Ochocinco,False,False,False
10,6,1,False,Jake Pavelka,Jake Pavelka,Jake Pavelka;Pamela Anderson,Jake Pavelka;Chad Ochocinco,Jake Pavelka,Jake Pavelka,Jake Pavelka;Pamela Anderson,Jake Pavelka;Chad Ochocinco,False,False,False
10,7,1,False,Pamela Anderson,Pamela Anderson,Pamela Anderson;Erin Andrews,Pamela Anderson;Chad Ochocinco,Pamela Anderson,Pamela Anderson,Pamela Anderson;Erin Andrews,Pamela Anderson;Chad Ochocinco,False,False,False
10,8,1,False,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco;Erin Andrews,Chad Ochocinco;Erin Andrews,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco;Erin Andrews,Chad Ochocinco;Erin Andrews,False,False,False
10,9,1,False,Erin Andrews,Erin Andrews,Erin Andrews;Evan Lysacek,Erin Andrews;Evan Lysacek,Erin Andrews,Erin Andrews,Erin Andrews;Evan Lysacek,Erin Andrews;Evan Lysacek,False,False,False
10,10,0,True,,,Evan Lysacek;Nicole Scherzinger,Evan Lysacek;Nicole Scherzinger,,,Evan Lysacek;Nicole Scherzinger,Evan Lysacek;Nicole Scherzinger,False,False,False
11,1,1,False,David Hasselhoff,David Hasselhoff,David Hasselhoff;Margaret Cho,David Hasselhoff;Michael Bolton,David Hasselhoff,David Hasselhoff,David Hasselhoff;Margaret Cho,David Hasselhoff;Michael Bolton,False,False,False
11,2,1,False,Michael Bolton,Michael Bolton,Michael Bolton;Margaret Cho,Michael Bolton;Margaret Cho,Michael Bolton,Michael Bolton,Michael Bolton;Margaret Cho,Michael Bolton;Margaret Cho,False,False,False
11,3,1,False,Margaret Cho,Margaret Cho,Margaret Cho;Bristol Palin,Margaret Cho;The Situation,Margaret Cho,Margaret Cho,Margaret Cho;Bristol Palin,Margaret Cho;The Situation,False,False,False
11,4,1,False,The Situation,The Situation,The Situation;Bristol Palin,The Situation;Bristol Palin,The Situation,The Situation,The Situation;Bristol Palin,The Situation;Bristol Palin,False,False,False
11,5,1,False,Bristol Palin,Florence Henderson,Bristol Palin;Florence Henderson,Florence Henderson;Bristol Palin,Bristol Palin,Bristol Palin,Bristol Palin;Florence Henderson,Florence Henderson;Bristol Palin,True,False,True
11,6,1,False,Florence Henderson,Audrina Patridge,Florence Henderson;Kurt Warner,Audrina Patridge;Bristol Palin,Florence Henderson,Florence Henderson,Florence Henderson;Kurt Warner,Florence Henderson;Audrina Patridge,True,False,True
11,7,1,False,Audrina Patridge,Rick Fox,Audrina Patridge;Rick Fox,Rick Fox;Bristol Palin,Audrina Patridge,Audrina Patridge,Audrina Patridge;Rick Fox,Audrina Patridge;Rick Fox,True,False,True
11,8,1,False,Rick Fox,Kurt Warner,Rick Fox;Kurt Warner,Kurt Warner;Bristol Palin,Rick Fox,Rick Fox,Rick Fox;Kurt Warner,Rick Fox;Kurt Warner,True,False,True
11,9,1,False,Kurt Warner,Brandy,Kurt Warner;Brandy,Brandy;Bristol Palin,Kurt Warner,Kurt Warner,Kurt Warner;Brandy,Kurt Warner;Brandy,True,False,True
11,10,0,True,,,Brandy;Kyle Massey,Bristol Palin;Kyle Massey,,,Brandy;Kyle Massey,Brandy;Kyle Massey,False,False,False
12,1,1,False,Mike Catherwood,Mike Catherwood,Mike Catherwood;Wendy Williams,Mike Catherwood;Wendy Williams,Mike Catherwood,Mike Catherwood,Mike Catherwood;Wendy Williams,Mike Catherwood;Wendy Williams,False,False,False
12,2,1,False,Wendy Williams,Wendy Williams,Wendy Williams;Sugar Ray Leonard,Wendy Williams;Sugar Ray Leonard,Wendy Williams,Wendy Williams,Wendy Williams;Sugar Ray Leonard,Wendy Williams;Sugar Ray Leonard,False,False,False
12,3,1,False,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard;Romeo,Sugar Ray Leonard;Kendra Wilkinson,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard;Romeo,Sugar Ray Leonard;Kendra Wilkinson,False,False,False
12,4,1,False,Kendra Wilkinson,Kendra Wilkinson,Kendra Wilkinson;Kirstie Alley,Kendra Wilkinson;Petra Nemcova,Kendra Wilkinson,Kendra Wilkinson,Kendra Wilkinson;Kirstie Alley,Kendra Wilkinson;Petra Nemcova,False,False,False
12,5,1,False,Petra Nemcova,Petra Nemcova,Petra Nemcova;Ralph Macchio,Petra Nemcova;Ralph Macchio,Petra Nemcova,Petra Nemcova,Petra Nemcova;Ralph Macchio,Petra Nemcova;Ralph Macchio,False,False,False
12,6,1,False,Chris Jericho,Chris Jericho,Chris Jericho;Ralph Macchio,Chris Jericho;Ralph Macchio,Chris Jericho,Chris Jericho,Chris Jericho;Ralph Macchio,Chris Jericho;Ralph Macchio,False,False,False
